configuration,run_index,scenario,status,error_type,error_message
without_follow_up_tracking,2,mixed_058_moderate_isolated_critical_adequate_tight,failed,RuntimeError,ED Orchestration Agent LLM planning failed: Invalid control character at: line 24 column 118 (char 3160)
without_follow_up_tracking,2,mixed_059_high_isolated_critical_adequate_open,failed,RuntimeError,ED Orchestration Agent LLM planning failed: Invalid control character at: line 10 column 649 (char 1832)
without_follow_up_tracking,2,mixed_096_critical_multi_risk_critical_open,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,2,mixed_108_critical_isolated_critical_adequate_critical,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,2,mixed_160_critical_multi_risk_adequate_open,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,3,mixed_061_low_multi_risk_adequate_tight,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,3,mixed_107_moderate_isolated_critical_adequate_critical,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,3,mixed_108_critical_isolated_critical_adequate_critical,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,3,mixed_116_critical_stable_strained_critical,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,4,mixed_039_high_isolated_high_critical_open,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,4,mixed_045_low_multi_risk_critical_tight,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,4,mixed_082_moderate_stable_critical_tight,failed,RuntimeError,ED Orchestration Agent LLM planning failed: Invalid control character at: line 53 column 132 (char 4856)
without_follow_up_tracking,4,mixed_087_high_isolated_high_strained_tight,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,4,mixed_120_low_isolated_high_strained_critical,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,4,mixed_132_low_stable_critical_critical,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,4,mixed_158_high_multi_risk_critical_open,failed,RuntimeError,"ED Orchestration Agent LLM planning failed: Expecting ',' delimiter: line 7 column 148 (char 1067)"
